Batch_ID,Machine_ID,Line_ID,Product_ID,Temperature,Pressure,Speed,Vibration,Humidity,Operator,Shift,Production_Time,Has_Defect,Defect_Type,Defect_Status
BAT-10001,M-02,Line-1,PROD-A10,73.7,8.92,1278,2.3,47.1,Op-Frank,Afternoon,2026-04-13 11:29,0,None,PASS
BAT-10002,M-02,Line-1,PROD-A10,74.7,9.11,1183,2.01,45.9,Op-Elena,Afternoon,2026-02-18 11:29,0,None,PASS
BAT-10003,M-04,Line-2,PROD-B20,76.1,8.08,1369,5.25,60.9,Op-Elena,Night,2026-02-16 11:29,0,None,PASS
BAT-10004,M-07,Line-4,PROD-B20,77.4,7.04,1541,3.53,57.0,Op-David,Night,2026-04-22 11:29,0,None,PASS
BAT-10005,M-01,Line-1,PROD-B20,73.3,8.3,1293,1.86,47.9,Op-Frank,Afternoon,2026-05-08 11:29,0,None,PASS
BAT-10006,M-04,Line-2,PROD-C30,82.9,10.19,1306,3.64,75.6,Op-Alice,Morning,2026-05-18 11:29,1,Porosity,SCRAP
BAT-10007,M-01,Line-1,PROD-D40,74.5,8.97,1217,1.57,47.5,Op-Elena,Morning,2026-05-17 11:29,0,None,PASS
BAT-10008,M-05,Line-3,PROD-C30,75.9,8.33,1149,1.98,44.5,Op-Elena,Morning,2026-02-27 11:29,1,Dimensional Deviation,SCRAP
BAT-10009,M-02,Line-1,PROD-B20,73.0,8.26,1237,2.23,52.1,Op-Alice,Afternoon,2026-04-22 11:29,0,None,PASS
BAT-10010,M-06,Line-3,PROD-B20,73.5,8.29,1142,2.47,52.4,Op-Charlie,Afternoon,2026-04-04 11:29,0,None,PASS
BAT-10011,M-02,Line-1,PROD-B20,72.8,9.01,1271,1.79,47.7,Op-Elena,Night,2026-04-13 11:29,0,None,PASS
BAT-10012,M-07,Line-4,PROD-C30,84.1,6.67,1602,4.13,50.4,Op-Frank,Night,2026-07-02 11:29,1,Surface Crack,REWORK
BAT-10013,M-01,Line-1,PROD-B20,73.3,8.65,1120,2.13,47.1,Op-Alice,Afternoon,2026-05-23 11:29,0,None,PASS
BAT-10014,M-04,Line-2,PROD-C30,82.3,10.54,1400,5.34,65.0,Op-Bob,Night,2026-06-17 11:29,1,Surface Crack,SCRAP
BAT-10015,M-08,Line-4,PROD-B20,74.8,8.34,1233,2.47,48.4,Op-Charlie,Morning,2026-04-14 11:29,0,None,PASS
BAT-10016,M-05,Line-3,PROD-D40,73.2,8.94,1198,2.49,46.5,Op-Elena,Afternoon,2026-05-13 11:29,0,None,PASS
BAT-10017,M-03,Line-2,PROD-D40,74.7,8.6,1199,2.22,42.3,Op-Alice,Morning,2026-03-10 11:29,0,None,PASS
BAT-10018,M-03,Line-2,PROD-D40,75.1,8.52,1219,1.93,39.9,Op-Elena,Morning,2026-05-19 11:29,0,None,PASS
BAT-10019,M-08,Line-4,PROD-C30,73.8,7.64,1208,2.2,48.2,Op-Elena,Morning,2026-08-03 11:29,0,None,PASS
BAT-10020,M-05,Line-3,PROD-C30,75.2,8.47,1184,3.09,46.3,Op-Alice,Afternoon,2026-06-01 11:29,0,None,PASS
BAT-10021,M-01,Line-1,PROD-C30,75.9,9.0,1169,2.56,53.6,Op-Elena,Morning,2026-06-19 11:29,0,None,PASS
BAT-10022,M-05,Line-3,PROD-B20,71.8,8.64,1187,1.54,51.7,Op-Bob,Afternoon,2026-03-23 11:29,0,None,PASS
BAT-10023,M-01,Line-1,PROD-C30,72.7,7.82,1213,2.14,43.8,Op-David,Morning,2026-03-10 11:29,0,None,PASS
BAT-10024,M-05,Line-3,PROD-B20,75.6,8.52,1192,2.29,44.5,Op-Alice,Morning,2026-07-05 11:29,0,None,PASS
BAT-10025,M-02,Line-1,PROD-D40,73.0,8.71,1268,2.55,41.6,Op-Alice,Night,2026-03-14 11:29,0,None,PASS
BAT-10026,M-08,Line-4,PROD-B20,72.4,9.2,1268,2.54,44.5,Op-Charlie,Night,2026-07-15 11:29,0,None,PASS
BAT-10027,M-04,Line-2,PROD-B20,85.1,10.09,1355,4.05,81.1,Op-Frank,Afternoon,2026-05-23 11:29,0,None,PASS
BAT-10028,M-06,Line-3,PROD-D40,75.8,8.12,1176,2.29,43.5,Op-Elena,Afternoon,2026-03-12 11:29,0,None,PASS
BAT-10029,M-02,Line-1,PROD-C30,76.2,9.01,1295,2.66,47.0,Op-Alice,Night,2026-07-01 11:29,0,None,PASS
BAT-10030,M-04,Line-2,PROD-A10,89.8,9.56,1528,4.22,71.8,Op-Alice,Night,2026-07-21 11:29,1,Surface Crack,REWORK
BAT-10031,M-01,Line-1,PROD-C30,74.0,8.06,1231,2.45,47.1,Op-Alice,Night,2026-04-11 11:29,0,None,PASS
BAT-10032,M-08,Line-4,PROD-B20,72.9,8.99,1257,2.39,46.6,Op-Elena,Morning,2026-07-06 11:29,0,None,PASS
BAT-10033,M-04,Line-2,PROD-D40,78.0,9.97,1454,5.04,61.8,Op-David,Morning,2026-03-06 11:29,1,Dimensional Deviation,REWORK
BAT-10034,M-07,Line-4,PROD-D40,83.0,6.27,1415,3.62,60.3,Op-David,Night,2026-02-23 11:29,0,None,PASS
